Date and Time,Location Code,Energy kWh
1/1/22 1:00,CWSS_BLK-B,0
1/1/22 1:00,CWSS_BLK-CDE,0
1/1/22 1:00,CWSS_BLK-I,0.03
1/1/22 1:00,CWSS_BLK-A,0
1/1/22 2:00,CWSS_BLK-B,0
1/1/22 2:00,CWSS_BLK-A,0
1/1/22 2:00,CWSS_BLK-I,0
1/1/22 2:00,CWSS_BLK-CDE,0
1/1/22 3:00,CWSS_BLK-B,0
1/1/22 3:00,CWSS_BLK-CDE,0
1/1/22 3:00,CWSS_BLK-I,0
1/1/22 3:00,CWSS_BLK-A,0
1/1/22 4:00,CWSS_BLK-A,0
1/1/22 4:00,CWSS_BLK-B,0
1/1/22 4:00,CWSS_BLK-CDE,0
1/1/22 4:00,CWSS_BLK-I,0
1/1/22 5:00,CWSS_BLK-B,0
1/1/22 5:00,CWSS_BLK-A,0
1/1/22 5:00,CWSS_BLK-I,0.03
1/1/22 5:00,CWSS_BLK-CDE,0
1/1/22 6:00,CWSS_BLK-I,0
1/1/22 6:00,CWSS_BLK-A,0
1/1/22 6:00,CWSS_BLK-B,0
1/1/22 6:00,CWSS_BLK-CDE,0
1/1/22 7:00,CWSS_BLK-A,0
1/1/22 7:00,CWSS_BLK-B,0
1/1/22 7:00,CWSS_BLK-I,0
1/1/22 7:00,CWSS_BLK-CDE,0
1/1/22 8:00,CWSS_BLK-A,2.14
1/1/22 8:00,CWSS_BLK-CDE,1.95
1/1/22 8:00,CWSS_BLK-I,1.37
1/1/22 8:00,CWSS_BLK-B,1.98
1/1/22 9:00,CWSS_BLK-I,9.05
1/1/22 9:00,CWSS_BLK-A,14.12
1/1/22 9:00,CWSS_BLK-B,12.54
1/1/22 9:00,CWSS_BLK-CDE,13.12
1/1/22 10:00,CWSS_BLK-B,26.92
1/1/22 10:00,CWSS_BLK-A,30.36
1/1/22 10:00,CWSS_BLK-CDE,28.45
1/1/22 10:00,CWSS_BLK-I,18.95
1/1/22 11:00,CWSS_BLK-B,62.24
1/1/22 11:00,CWSS_BLK-CDE,69.03
1/1/22 11:00,CWSS_BLK-I,44.29
1/1/22 11:00,CWSS_BLK-A,73.29
1/1/22 12:00,CWSS_BLK-B,73.22
1/1/22 12:00,CWSS_BLK-CDE,81.06
1/1/22 12:00,CWSS_BLK-I,53.61
1/1/22 12:00,CWSS_BLK-A,85.52
1/1/22 13:00,CWSS_BLK-B,55.69
1/1/22 13:00,CWSS_BLK-A,66.78
1/1/22 13:00,CWSS_BLK-CDE,62.58
1/1/22 13:00,CWSS_BLK-I,43.01
1/1/22 14:00,CWSS_BLK-B,64.7
1/1/22 14:00,CWSS_BLK-CDE,70.11
1/1/22 14:00,CWSS_BLK-I,48.58
1/1/22 14:00,CWSS_BLK-A,73.53
1/1/22 15:00,CWSS_BLK-CDE,81.41
1/1/22 15:00,CWSS_BLK-I,55.84
1/1/22 15:00,CWSS_BLK-B,73.5
1/1/22 15:00,CWSS_BLK-A,85.44
1/1/22 16:00,CWSS_BLK-B,7.01
1/1/22 16:00,CWSS_BLK-A,8
1/1/22 16:00,CWSS_BLK-I,4.89
1/1/22 16:00,CWSS_BLK-CDE,7.62
1/1/22 17:00,CWSS_BLK-I,2.69
1/1/22 17:00,CWSS_BLK-B,3.85
1/1/22 17:00,CWSS_BLK-A,4.25
1/1/22 17:00,CWSS_BLK-CDE,3.77
1/1/22 18:00,CWSS_BLK-I,8.54
1/1/22 18:00,CWSS_BLK-CDE,12.23
1/1/22 18:00,CWSS_BLK-A,13.31
1/1/22 18:00,CWSS_BLK-B,11.97
1/1/22 19:00,CWSS_BLK-B,3.54
1/1/22 19:00,CWSS_BLK-CDE,3.72
1/1/22 19:00,CWSS_BLK-I,2.57
1/1/22 19:00,CWSS_BLK-A,4
1/1/22 20:00,CWSS_BLK-A,0.03
1/1/22 20:00,CWSS_BLK-CDE,0.03
1/1/22 20:00,CWSS_BLK-B,0
1/1/22 20:00,CWSS_BLK-I,0
1/1/22 21:00,CWSS_BLK-CDE,0
1/1/22 21:00,CWSS_BLK-A,0
1/1/22 21:00,CWSS_BLK-I,0.03
1/1/22 21:00,CWSS_BLK-B,0
2/1/22 1:00,CWSS_BLK-I,0
2/1/22 1:00,CWSS_BLK-CDE,0
2/1/22 1:00,CWSS_BLK-B,0
2/1/22 1:00,CWSS_BLK-A,0
2/1/22 2:00,CWSS_BLK-I,0.03
2/1/22 2:00,CWSS_BLK-CDE,0
2/1/22 2:00,CWSS_BLK-B,0
2/1/22 2:00,CWSS_BLK-A,0
2/1/22 3:00,CWSS_BLK-CDE,0
2/1/22 3:00,CWSS_BLK-B,0
2/1/22 3:00,CWSS_BLK-A,0
2/1/22 3:00,CWSS_BLK-I,0
2/1/22 4:00,CWSS_BLK-B,0
2/1/22 4:00,CWSS_BLK-A,0.03
2/1/22 4:00,CWSS_BLK-I,0
2/1/22 4:00,CWSS_BLK-CDE,0
2/1/22 5:00,CWSS_BLK-A,0
2/1/22 5:00,CWSS_BLK-I,0.03
2/1/22 5:00,CWSS_BLK-CDE,0
2/1/22 5:00,CWSS_BLK-B,0
2/1/22 6:00,CWSS_BLK-CDE,0
2/1/22 6:00,CWSS_BLK-A,0
2/1/22 6:00,CWSS_BLK-I,0
2/1/22 6:00,CWSS_BLK-B,0
2/1/22 7:00,CWSS_BLK-B,0
2/1/22 7:00,CWSS_BLK-I,0
2/1/22 7:00,CWSS_BLK-A,0
2/1/22 7:00,CWSS_BLK-CDE,0
2/1/22 8:00,CWSS_BLK-A,0
2/1/22 8:00,CWSS_BLK-CDE,0
2/1/22 8:00,CWSS_BLK-I,0
2/1/22 8:00,CWSS_BLK-B,0
2/1/22 9:00,CWSS_BLK-CDE,0.68
2/1/22 9:00,CWSS_BLK-A,0.77
2/1/22 9:00,CWSS_BLK-B,0.68
2/1/22 9:00,CWSS_BLK-I,0.47
2/1/22 10:00,CWSS_BLK-CDE,1.54
2/1/22 10:00,CWSS_BLK-I,1.02
2/1/22 10:00,CWSS_BLK-A,1.67
2/1/22 10:00,CWSS_BLK-B,1.54
2/1/22 11:00,CWSS_BLK-A,3.56
2/1/22 11:00,CWSS_BLK-I,2.27
2/1/22 11:00,CWSS_BLK-B,3.11
2/1/22 11:00,CWSS_BLK-CDE,3.26
2/1/22 12:00,CWSS_BLK-I,3.35
2/1/22 12:00,CWSS_BLK-CDE,4.93
2/1/22 12:00,CWSS_BLK-A,5.28
2/1/22 12:00,CWSS_BLK-B,4.69
2/1/22 13:00,CWSS_BLK-A,15.04
2/1/22 13:00,CWSS_BLK-B,13.26
2/1/22 13:00,CWSS_BLK-I,9.5
2/1/22 13:00,CWSS_BLK-CDE,13.89
2/1/22 14:00,CWSS_BLK-A,34.4
2/1/22 14:00,CWSS_BLK-CDE,31.91
2/1/22 14:00,CWSS_BLK-B,30.47
2/1/22 14:00,CWSS_BLK-I,21.99
2/1/22 15:00,CWSS_BLK-A,22.91
2/1/22 15:00,CWSS_BLK-B,20.22
2/1/22 15:00,CWSS_BLK-I,14.76
2/1/22 15:00,CWSS_BLK-CDE,21.28
2/1/22 16:00,CWSS_BLK-B,8.29
2/1/22 16:00,CWSS_BLK-I,6.08
2/1/22 16:00,CWSS_BLK-A,9.41
2/1/22 16:00,CWSS_BLK-CDE,8.8
2/1/22 17:00,CWSS_BLK-B,6.53
2/1/22 17:00,CWSS_BLK-CDE,6.88
2/1/22 17:00,CWSS_BLK-A,7.37
2/1/22 17:00,CWSS_BLK-I,4.77
2/1/22 18:00,CWSS_BLK-A,2.45
2/1/22 18:00,CWSS_BLK-CDE,2.24
2/1/22 18:00,CWSS_BLK-B,2.2
2/1/22 18:00,CWSS_BLK-I,1.54
2/1/22 19:00,CWSS_BLK-CDE,1.54
2/1/22 19:00,CWSS_BLK-I,0.98
2/1/22 19:00,CWSS_BLK-A,1.67
2/1/22 19:00,CWSS_BLK-B,1.47
2/1/22 20:00,CWSS_BLK-I,0
2/1/22 20:00,CWSS_BLK-A,0
2/1/22 20:00,CWSS_BLK-B,0
2/1/22 20:00,CWSS_BLK-CDE,0
2/1/22 21:00,CWSS_BLK-CDE,0
2/1/22 21:00,CWSS_BLK-I,0.03
2/1/22 21:00,CWSS_BLK-A,0
2/1/22 21:00,CWSS_BLK-B,0
3/1/22 1:00,CWSS_BLK-I,0
3/1/22 1:00,CWSS_BLK-B,0
3/1/22 1:00,CWSS_BLK-A,0
3/1/22 1:00,CWSS_BLK-CDE,0
3/1/22 2:00,CWSS_BLK-B,0
3/1/22 2:00,CWSS_BLK-I,0
3/1/22 2:00,CWSS_BLK-A,0
3/1/22 2:00,CWSS_BLK-CDE,0
3/1/22 3:00,CWSS_BLK-I,0
3/1/22 3:00,CWSS_BLK-A,0.03
3/1/22 3:00,CWSS_BLK-B,0
3/1/22 3:00,CWSS_BLK-CDE,0
3/1/22 4:00,CWSS_BLK-CDE,0
3/1/22 4:00,CWSS_BLK-A,0
3/1/22 4:00,CWSS_BLK-B,0
3/1/22 4:00,CWSS_BLK-I,0
3/1/22 5:00,CWSS_BLK-CDE,0
3/1/22 5:00,CWSS_BLK-B,0
3/1/22 5:00,CWSS_BLK-I,0.03
3/1/22 5:00,CWSS_BLK-A,0
3/1/22 6:00,CWSS_BLK-A,0
3/1/22 6:00,CWSS_BLK-B,0
3/1/22 6:00,CWSS_BLK-CDE,0
3/1/22 6:00,CWSS_BLK-I,0
3/1/22 7:00,CWSS_BLK-CDE,0
3/1/22 7:00,CWSS_BLK-I,0.03
3/1/22 7:00,CWSS_BLK-A,0
3/1/22 7:00,CWSS_BLK-B,0
3/1/22 8:00,CWSS_BLK-B,4
3/1/22 8:00,CWSS_BLK-I,2.78
3/1/22 8:00,CWSS_BLK-CDE,4.09
