Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1990,33.2,29,37.5,49.3,54.5,67.3,71.8,70.3,61.2,52.8,42.2,33.5,50.2
1991,24.3,29.8,37.7,51,62.7,68.4,72.3,71.8,60.5,53.1,40,30.7,50.2
1992,24.7,26.4,29.3,44.4,57.5,64,67.3,67.5,61.3,46.6,39.7,31,46.6
1993,27.5,17,30,46.9,58,65.1,72.4,70.6,60,48.2,38.6,26.9,46.8
1994,12.6,19.2,30.8,47.9,54.1,68,72.9,67.5,60.9,50.6,44,31.9,46.7
1995,30.5,20.7,37.4,42.4,56.9,69.5,73.5,71.9,59.1,54.7,35.3,24.2,48
1996,22.5,24.7,29.8,43.2,54.9,68.2,69.4,70.3,63.1,50.6,34.7,34.8,47.2
1997,23.8,30.3,33.5,44.2,52.2,67.9,69.8,68.4,60.1,49,37.2,30.4,47.2
1998,29.6,31.2,37.8,48.1,62.9,66.3,70.1,71.1,64,51.8,41.7,35.4,50.8
1999,22.5,29.6,31.5,46.5,60.7,69.8,75,68.9,64.8,49.5,44.3,30.9,49.5
2000,21.3,28.8,40,44.3,59.1,65.6,67,68.1,60.7,50.9,38.4,21.6,47.2
2001,25.6,27.6,29.9,47.8,59.3,67.2,69.4,73.6,62.3,53.3,47.3,36.8,50
2002,32.9,32.3,36.3,48.5,54,68,73.7,73,66.9,50.4,40.6,28.7,50.4
2003,18.8,21.6,34.2,43.8,56,64.6,71.2,71.5,63.2,48.6,42.2,30,47.1
2004,14.7,23.5,37.5,46.1,60.3,63.7,69.5,68.6,65,51.4,41,29.1,47.5
2005,21,25.7,30.7,48.3,54.2,72.7,74.7,73.7,65.4,52.1,44,26.2,49.1
2006,33.4,27.2,34,47.8,58.2,67.2,74.1,69.2,60.7,49.2,44.7,37.4,50.3
2007,27.2,18.5,31.5,43.7,58.5,68.3,69.8,70.8,65.3,58,37.9,27.9,48.1
2008,29.5,25.7,31.6,51.6,53.7,69.7,71.3,66.9,62.7,48.3,38.2,28.9,48.2
2009,18.2,26.3,35.3,48.2,57.5,64.7,68,70.9,61.3,49,43.5,28.1,47.6
2010,23.2,25.9,40.5,51.8,61.1,67.5,74.5,71.4,63.1,51.3,40.8,25.5,49.7
2011,21,23.8,33.3,49.2,62.8,68.9,75.8,71.9,66,52.6,46.8,35.9,50.7
2012,31.1,32.3,46.5,45.9,64.3,68.8,76.2,73,63.6,54.2,39.3,35.3,52.5
2013,27.7,25.3,33.6,46.1,60.4,66.8,74.5,70,61.3,53.8,37.7,27.9,48.8
2014,19.9,20.9,25.7,46,60.4,68.8,71.4,69.2,63.8,54.9,39.7,32.1,47.7
2015,17.3,9,27,46.4,64.1,66,71,70.5,67.9,49.9,46,41.1,48
2016,25.9,27.6,39.7,42.6,58.2,66.3,73.3,74.1,64.8,51.6,41.8,29.6,49.6
2017,29.1,33.3,30.1,50.9,55.7,65.9,70.3,68.2,64.5,57,38,24.1,48.9
2018,21.5,32.2,30.8,39.5,62.8,65.6,73.7,72.5,65.6,49.9,34.5,30.7,48.3
2019,21.4,26.6,32.4,48.2,57,66,74.8,69.7,63.9,53.5,36,30.5,48.3
2020,31,28.5,40.3,44.4,56.8,69.3,77.1,73,63.8,51.9,45.6,33.8,51.3
2021,27.2,25.1,38.6,49.2,59,72.6,72.4,75.5,66,59,41.1,38,52
2022,19.5,27.8,37,45.8,61.5,66,74.1,74.3,64,52.5,45.2,32.1,50
